shop_id,category,year,month,item_cnt_day
0,0,0,0,0
0,0,0,1,1
0,0,0,2,0
0,0,0,3,0
0,0,0,4,0
0,0,0,5,0
0,0,0,6,0
0,0,0,7,0
0,0,0,8,0
0,0,0,9,0
0,0,0,10,0
0,0,0,11,0
0,0,1,0,0
0,0,1,1,0
0,0,1,2,0
0,0,1,3,0
0,0,1,4,0
0,0,1,5,0
0,0,1,6,0
0,0,1,7,0
0,0,1,8,0
0,0,1,9,0
0,0,1,10,0
0,0,1,11,0
0,0,2,0,0
0,0,2,1,0
0,0,2,2,0
0,0,2,3,0
0,0,2,4,0
0,0,2,5,0
0,0,2,6,0
0,0,2,7,0
0,0,2,8,0
0,0,2,9,0
0,0,2,10,0
0,0,2,11,0
0,1,0,0,0
0,1,0,1,1
0,1,0,2,0
0,1,0,3,0
0,1,0,4,0
0,1,0,5,0
0,1,0,6,0
0,1,0,7,0
0,1,0,8,0
0,1,0,9,0
0,1,0,10,0
0,1,0,11,0
0,1,1,0,0
0,1,1,1,0
0,1,1,2,0
0,1,1,3,0
0,1,1,4,0
0,1,1,5,0
0,1,1,6,0
0,1,1,7,0
0,1,1,8,0
0,1,1,9,0
0,1,1,10,0
0,1,1,11,0
0,1,2,0,0
0,1,2,1,0
0,1,2,2,0
0,1,2,3,0
0,1,2,4,0
0,1,2,5,0
0,1,2,6,0
0,1,2,7,0
0,1,2,8,0
0,1,2,9,0
0,1,2,10,0
0,1,2,11,0
0,2,0,0,53
0,2,0,1,52
0,2,0,2,0
0,2,0,3,0
0,2,0,4,0
0,2,0,5,0
0,2,0,6,0
0,2,0,7,0
0,2,0,8,0
0,2,0,9,0
0,2,0,10,0
0,2,0,11,0
0,2,1,0,0
0,2,1,1,0
0,2,1,2,0
0,2,1,3,0
0,2,1,4,0
0,2,1,5,0
0,2,1,6,0
0,2,1,7,0
0,2,1,8,0
0,2,1,9,0
0,2,1,10,0
0,2,1,11,0
0,2,2,0,0
0,2,2,1,0
0,2,2,2,0
0,2,2,3,0
0,2,2,4,0
0,2,2,5,0
0,2,2,6,0
0,2,2,7,0
0,2,2,8,0
0,2,2,9,0
0,2,2,10,0
0,2,2,11,0
0,3,0,0,28
0,3,0,1,24
0,3,0,2,0
0,3,0,3,0
0,3,0,4,0
0,3,0,5,0
0,3,0,6,0
0,3,0,7,0
0,3,0,8,0
0,3,0,9,0
0,3,0,10,0
0,3,0,11,0
0,3,1,0,0
0,3,1,1,0
0,3,1,2,0
0,3,1,3,0
0,3,1,4,0
0,3,1,5,0
0,3,1,6,0
0,3,1,7,0
0,3,1,8,0
0,3,1,9,0
0,3,1,10,0
0,3,1,11,0
0,3,2,0,0
0,3,2,1,0
0,3,2,2,0
0,3,2,3,0
0,3,2,4,0
0,3,2,5,0
0,3,2,6,0
0,3,2,7,0
0,3,2,8,0
0,3,2,9,0
0,3,2,10,0
0,3,2,11,0
0,4,0,0,16
0,4,0,1,22
0,4,0,2,0
0,4,0,3,0
0,4,0,4,0
0,4,0,5,0
0,4,0,6,0
0,4,0,7,0
0,4,0,8,0
0,4,0,9,0
0,4,0,10,0
0,4,0,11,0
0,4,1,0,0
0,4,1,1,0
0,4,1,2,0
0,4,1,3,0
0,4,1,4,0
0,4,1,5,0
0,4,1,6,0
0,4,1,7,0
0,4,1,8,0
0,4,1,9,0
0,4,1,10,0
0,4,1,11,0
0,4,2,0,0
0,4,2,1,0
0,4,2,2,0
0,4,2,3,0
0,4,2,4,0
0,4,2,5,0
0,4,2,6,0
0,4,2,7,0
0,4,2,8,0
0,4,2,9,0
0,4,2,10,0
0,4,2,11,0
0,5,0,0,28
0,5,0,1,35
0,5,0,2,0
0,5,0,3,0
0,5,0,4,0
0,5,0,5,0
0,5,0,6,0
0,5,0,7,0
0,5,0,8,0
0,5,0,9,0
0,5,0,10,0
0,5,0,11,0
0,5,1,0,0
0,5,1,1,0
0,5,1,2,0
0,5,1,3,0
0,5,1,4,0
0,5,1,5,0
0,5,1,6,0
0,5,1,7,0
0,5,1,8,0
0,5,1,9,0
0,5,1,10,0
0,5,1,11,0
0,5,2,0,0
0,5,2,1,0
0,5,2,2,0
0,5,2,3,0
0,5,2,4,0
0,5,2,5,0
0,5,2,6,0
0,5,2,7,0
0,5,2,8,0
0,5,2,9,0
0,5,2,10,0
0,5,2,11,0
0,6,0,0,65
0,6,0,1,79
0,6,0,2,0
0,6,0,3,0
0,6,0,4,0
0,6,0,5,0
0,6,0,6,0
0,6,0,7,0
0,6,0,8,0
0,6,0,9,0
0,6,0,10,0
0,6,0,11,0
0,6,1,0,0
0,6,1,1,0
0,6,1,2,0
0,6,1,3,0
0,6,1,4,0
0,6,1,5,0
0,6,1,6,0
0,6,1,7,0
0,6,1,8,0
0,6,1,9,0
0,6,1,10,0
0,6,1,11,0
0,6,2,0,0
0,6,2,1,0
0,6,2,2,0
0,6,2,3,0
0,6,2,4,0
0,6,2,5,0
0,6,2,6,0
0,6,2,7,0
0,6,2,8,0
0,6,2,9,0
0,6,2,10,0
0,6,2,11,0
0,7,0,0,0
0,7,0,1,0
0,7,0,2,0
0,7,0,3,0
0,7,0,4,0
0,7,0,5,0
0,7,0,6,0
0,7,0,7,0
0,7,0,8,0
0,7,0,9,0
0,7,0,10,0
0,7,0,11,0
0,7,1,0,0
0,7,1,1,0
0,7,1,2,0
0,7,1,3,0
0,7,1,4,0
0,7,1,5,0
0,7,1,6,0
0,7,1,7,0
0,7,1,8,0
0,7,1,9,0
0,7,1,10,0
0,7,1,11,0
0,7,2,0,0
0,7,2,1,0
0,7,2,2,0
0,7,2,3,0
0,7,2,4,0
0,7,2,5,0
0,7,2,6,0
0,7,2,7,0
0,7,2,8,0
0,7,2,9,0
0,7,2,10,0
0,7,2,11,0
0,8,0,0,0
0,8,0,1,0
0,8,0,2,0
0,8,0,3,0
0,8,0,4,0
0,8,0,5,0
0,8,0,6,0
0,8,0,7,0
0,8,0,8,0
0,8,0,9,0
0,8,0,10,0
0,8,0,11,0
0,8,1,0,0
0,8,1,1,0
0,8,1,2,0
0,8,1,3,0
0,8,1,4,0
0,8,1,5,0
0,8,1,6,0
0,8,1,7,0
0,8,1,8,0
0,8,1,9,0
0,8,1,10,0
0,8,1,11,0
0,8,2,0,0
0,8,2,1,0
0,8,2,2,0
0,8,2,3,0
0,8,2,4,0
0,8,2,5,0
0,8,2,6,0
0,8,2,7,0
0,8,2,8,0
0,8,2,9,0
0,8,2,10,0
0,8,2,11,0
0,9,0,0,0
0,9,0,1,0
0,9,0,2,0
0,9,0,3,0
0,9,0,4,0
0,9,0,5,0
0,9,0,6,0
0,9,0,7,0
0,9,0,8,0
0,9,0,9,0
0,9,0,10,0
0,9,0,11,0
