ID,item_cnt_month
0,3.0604978
1,3.0604978
2,3.0604978
3,3.0604978
4,3.0604978
5,3.0604978
6,3.0604978
7,3.0604978
8,3.0604978
9,3.0604978
10,3.0604978
11,3.0604978
12,3.0604978
13,3.0604978
14,3.0604978
15,3.0604978
16,3.0604978
17,3.0604978
18,3.0604978
19,3.0604978
20,3.0604978
21,3.0604978
22,3.0604978
23,3.0604978
24,3.0604978
25,3.0604978
26,3.0604978
27,3.0604978
28,3.0604978
29,3.0604978
30,3.0604978
31,3.0604978
32,3.0604978
33,3.0604978
34,3.0604978
35,3.0604978
36,3.0604978
37,3.0604978
38,3.0604978
39,3.0604978
40,3.0604978
41,3.0604978
42,3.0604978
43,3.0604978
44,3.0604978
45,3.0604978
46,3.0604978
47,3.0604978
48,3.0604978
49,3.0604978
50,3.0604978
51,3.0604978
52,3.0604978
53,3.0604978
54,3.0604978
55,3.0604978
56,3.0604978
57,3.0604978
58,3.0604978
59,3.0604978
60,3.0604978
61,3.0604978
62,3.0604978
63,3.0604978
64,3.0604978
65,3.0604978
66,3.0604978
67,3.0604978
68,3.0604978
69,3.0604978
70,3.0604978
71,3.0604978
72,3.0604978
73,3.0604978
74,3.0604978
75,3.0604978
76,3.0604978
77,3.0604978
78,3.0604978
79,3.0604978
80,3.0604978
81,3.0604978
82,3.0604978
83,3.0604978
84,3.0604978
85,3.0604978
86,3.0604978
87,3.0604978
88,3.0604978
89,3.0604978
90,3.0604978
91,3.0604978
92,3.0604978
93,3.0604978
94,3.0604978
95,3.0604978
96,3.0604978
97,3.0604978
98,3.0604978
99,3.0604978
100,3.0604978
101,3.0604978
102,3.0604978
103,3.0604978
104,3.0604978
105,3.0604978
106,3.0604978
107,3.0604978
108,3.0604978
109,3.0604978
110,3.0604978
111,3.0604978
112,3.0604978
113,3.0604978
114,3.0604978
115,3.0604978
116,3.0604978
117,3.0604978
118,3.0604978
119,3.0604978
120,3.0604978
121,3.0604978
122,3.0604978
123,3.0604978
124,3.0604978
125,3.0604978
126,3.0604978
127,3.0604978
128,3.0604978
129,3.0604978
130,3.0604978
131,3.0604978
132,3.0604978
133,3.0604978
134,3.0604978
135,3.0604978
136,3.0604978
137,3.0604978
138,3.0604978
139,3.0604978
140,3.0604978
141,3.0604978
142,3.0604978
143,3.0604978
144,3.0604978
145,3.0604978
146,3.0604978
147,3.0604978
148,3.0604978
149,3.0604978
150,3.0604978
151,3.0604978
152,3.0604978
153,3.0604978
154,3.0604978
155,3.0604978
156,3.0604978
157,3.0604978
158,3.0604978
159,3.0604978
160,3.0604978
161,3.0604978
162,3.0604978
163,3.0604978
164,3.0604978
165,3.0604978
166,3.0604978
167,3.0604978
168,3.0604978
169,3.0604978
170,3.0604978
171,3.0604978
172,3.0604978
173,3.0604978
174,3.0604978
175,3.0604978
176,3.0604978
177,3.0604978
178,3.0604978
179,3.0604978
180,3.0604978
181,3.0604978
182,3.0604978
183,3.0604978
184,3.0604978
185,3.0604978
186,3.0604978
187,3.0604978
188,3.0604978
189,3.0604978
190,3.0604978
191,3.0604978
192,3.0604978
193,3.0604978
194,3.0604978
195,3.0604978
196,3.0604978
197,3.0604978
198,3.0604978
199,3.0604978
200,3.0604978
201,3.0604978
202,3.0604978
203,3.0604978
204,3.0604978
205,3.0604978
206,3.0604978
207,3.0604978
208,3.0604978
209,3.0604978
210,3.0604978
211,3.0604978
212,3.0604978
213,3.0604978
214,3.0604978
215,3.0604978
216,3.0604978
217,3.0604978
218,3.0604978
219,3.0604978
220,3.0604978
221,3.0604978
222,3.0604978
223,3.0604978
224,3.0604978
225,3.0604978
226,3.0604978
227,3.0604978
228,3.0604978
229,3.0604978
230,3.0604978
231,3.0604978
232,3.0604978
233,3.0604978
234,3.0604978
235,3.0604978
236,3.0604978
237,3.0604978
238,3.0604978
239,3.0604978
240,3.0604978
241,3.0604978
242,3.0604978
243,3.0604978
244,3.0604978
245,3.0604978
246,3.0604978
247,3.0604978
248,3.0604978
249,3.0604978
250,3.0604978
251,3.0604978
252,3.0604978
253,3.0604978
254,3.0604978
255,3.0604978
256,3.0604978
257,3.0604978
258,3.0604978
259,3.0604978
260,3.0604978
261,3.0604978
262,3.0604978
263,3.0604978
264,3.0604978
265,3.0604978
266,3.0604978
267,3.0604978
268,3.0604978
269,3.0604978
270,3.0604978
271,3.0604978
272,3.0604978
273,3.0604978
274,3.0604978
275,3.0604978
276,3.0604978
277,3.0604978
278,3.0604978
279,3.0604978
280,3.0604978
281,3.0604978
282,3.0604978
283,3.0604978
284,3.0604978
285,3.0604978
286,3.0604978
287,3.0604978
288,3.0604978
289,3.0604978
290,3.0604978
291,3.0604978
292,3.0604978
293,3.0604978
294,3.0604978
295,3.0604978
296,3.0604978
297,3.0604978
298,3.0604978
299,3.0604978
300,3.0604978
301,3.0604978
302,3.0604978
303,3.0604978
304,3.0604978
305,3.0604978
306,3.0604978
307,3.0604978
308,3.0604978
309,3.0604978
310,3.0604978
311,3.0604978
312,3.0604978
313,3.0604978
314,3.0604978
315,3.0604978
316,3.0604978
317,3.0604978
318,3.0604978
319,3.0604978
320,3.0604978
321,3.0604978
322,3.0604978
323,3.0604978
324,3.0604978
325,3.0604978
326,3.0604978
327,3.0604978
328,3.0604978
329,3.0604978
330,3.0604978
331,3.0604978
332,3.0604978
333,3.0604978
334,3.0604978
335,3.0604978
336,3.0604978
337,3.0604978
338,3.0604978
339,3.0604978
340,3.0604978
341,3.0604978
342,3.0604978
343,3.0604978
344,3.0604978
345,3.0604978
346,3.0604978
347,3.0604978
348,3.0604978
349,3.0604978
350,3.0604978
351,3.0604978
352,3.0604978
353,3.0604978
354,3.0604978
355,3.0604978
356,3.0604978
357,3.0604978
358,3.0604978
359,3.0604978
360,3.0604978
361,3.0604978
362,3.0604978
363,3.0604978
364,3.0604978
365,3.0604978
366,3.0604978
367,3.0604978
368,3.0604978
369,3.0604978
370,3.0604978
371,3.0604978
372,3.0604978
373,3.0604978
374,3.0604978
375,3.0604978
376,3.0604978
377,3.0604978
378,3.0604978
379,3.0604978
380,3.0604978
381,3.0604978
382,3.0604978
383,3.0604978
384,3.0604978
385,3.0604978
386,3.0604978
387,3.0604978
388,3.0604978
389,3.0604978
390,3.0604978
391,3.0604978
